timestamp,city_name,district_id,district_name,district_type,district_population,district_centroid_lat,district_centroid_lon,road_id,road_class,road_direction,road_lanes,road_length_km,road_free_flow_kph,road_capacity_veh_15m,road_start_lat,road_start_lon,road_end_lat,road_end_lon,weather_temperature_c,weather_feels_like_c,weather_humidity_pct,weather_rain_mm_h,weather_wind_kph,weather_cloud_cover_pct,weather_visibility_km,weather_condition,traffic_vehicle_count_15m,traffic_heavy_vehicle_pct,traffic_avg_speed_kph,traffic_occupancy_pct,traffic_travel_time_min,traffic_co2_kg,traffic_noise_db,traffic_congestion_level,parking_lot_count,parking_total_capacity,parking_occupied_spaces,parking_available_spaces,parking_occupancy_pct,parking_turnover_vehicles,parking_ev_chargers_occupied,energy_demand_kw,energy_solar_generation_kw,energy_grid_import_kw,energy_street_lighting_kw,energy_voltage_v,energy_outage_active,lighting_ambient_lux,lighting_dimming_pct,lighting_lamps_on,lighting_power_kw,camera_count,camera_detected_vehicles,camera_detected_pedestrians,camera_visibility_score,camera_max_queue_length,camera_degraded_count,iot_device_count,iot_air_quality_pm25_ug_m3,iot_noise_db,iot_microstation_temperature_c,iot_avg_battery_pct,iot_avg_signal_rssi_dbm,iot_anomaly_count,event_public_event_active,event_active_incident_id,event_active_incident_severity,event_active_incident_impact
2025-01-06T00:00:00,Novograd,D-01,Mixed Use 1,mixed_use,18913,52.2122,20.9862,R-D-01-01,collector,cross_city,2,1.52,43,570,52.203424,20.981133,52.220976,20.991267,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,72,8.6,41.5,12.6,2.2,13.68,74.9,free_flow,2,565,88,477,15.6,2,5,1489.4,0,1489.4,354.6,225.1,false,1,8,4728,354.6,1,73,11,1.0,0,0,3,4.65,76.5,-1.19,94.23,-61.53,0,false,,,0
2025-01-06T00:00:00,Novograd,D-01,Mixed Use 1,mixed_use,18913,52.2122,20.9862,R-D-01-02,collector,outbound,2,1.43,43,570,52.203944,20.990967,52.220456,20.981433,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,78,7.3,41.3,13.7,2.08,14.82,75.5,free_flow,2,565,88,477,15.6,2,5,1489.4,0,1489.4,354.6,225.1,false,1,8,4728,354.6,1,82,15,1.0,0,0,3,4.65,76.5,-1.19,94.23,-61.53,0,false,,,0
2025-01-06T00:00:00,Novograd,D-01,Mixed Use 1,mixed_use,18913,52.2122,20.9862,R-D-01-03,collector,cross_city,2,2.31,43,570,52.2122,21.0016,52.2122,20.9708,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,63,7.7,41.7,11.1,3.32,11.97,74.1,free_flow,2,565,88,477,15.6,2,5,1489.4,0,1489.4,354.6,225.1,false,1,8,4728,354.6,1,62,12,1.0,0,0,3,4.65,76.5,-1.19,94.23,-61.53,0,false,,,0
2025-01-06T00:00:00,Novograd,D-01,Mixed Use 1,mixed_use,18913,52.2122,20.9862,R-D-01-04,collector,cross_city,2,2.31,43,570,52.225537,20.9939,52.198863,20.9785,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,79,2.8,41.2,13.9,3.36,15.01,75.5,free_flow,2,565,88,477,15.6,2,5,1489.4,0,1489.4,354.6,225.1,false,1,8,4728,354.6,0,0,0,0.0,0,0,3,4.65,76.5,-1.19,94.23,-61.53,0,false,,,0
2025-01-06T00:00:00,Novograd,D-01,Mixed Use 1,mixed_use,18913,52.2122,20.9862,R-D-01-05,arterial,cross_city,4,1.64,58,1720,52.221669,20.980733,52.202731,20.991667,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,231,15.1,55.7,13.4,1.77,43.89,82.5,free_flow,2,565,88,477,15.6,2,5,1489.4,0,1489.4,354.6,225.1,false,1,8,4728,354.6,0,0,0,0.0,0,0,3,4.65,76.5,-1.19,94.23,-61.53,0,false,,,0
2025-01-06T00:00:00,Novograd,D-02,Industrial 2,industrial,4426,52.2122,21.0382,R-D-02-01,collector,cross_city,2,2.02,43,570,52.200538,21.031467,52.223862,21.044933,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,74,9.8,41.4,13.0,2.93,14.06,75.1,free_flow,2,385,54,331,14.0,1,3,348.5,0,348.5,83.0,229.6,false,1,8,1106,83.0,1,80,11,1.0,0,0,3,9.14,75.05,-1.66,95.23,-56.97,0,false,,,0
2025-01-06T00:00:00,Novograd,D-02,Industrial 2,industrial,4426,52.2122,21.0382,R-D-02-02,collector,cross_city,2,1.11,43,570,52.205791,21.0419,52.218609,21.0345,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,72,3.8,41.5,12.6,1.61,13.68,74.9,free_flow,2,385,54,331,14.0,1,3,348.5,0,348.5,83.0,229.6,false,1,8,1106,83.0,1,76,13,1.0,0,0,3,9.14,75.05,-1.66,95.23,-56.97,0,false,,,0
2025-01-06T00:00:00,Novograd,D-02,Industrial 2,industrial,4426,52.2122,21.0382,R-D-02-03,arterial,inbound,4,1.36,58,1720,52.2122,21.047267,52.2122,21.029133,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,249,15.6,55.5,14.5,1.47,47.31,83.0,free_flow,2,385,54,331,14.0,1,3,348.5,0,348.5,83.0,229.6,false,1,8,1106,83.0,1,237,18,1.0,0,0,3,9.14,75.05,-1.66,95.23,-56.97,0,false,,,0
2025-01-06T00:00:00,Novograd,D-02,Industrial 2,industrial,4426,52.2122,21.0382,R-D-02-04,collector,outbound,2,2.03,43,570,52.22392,21.044967,52.20048,21.031433,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,77,6.3,41.3,13.5,2.95,14.63,75.4,free_flow,2,385,54,331,14.0,1,3,348.5,0,348.5,83.0,229.6,false,1,8,1106,83.0,0,0,0,0.0,0,0,3,9.14,75.05,-1.66,95.23,-56.97,0,false,,,0
2025-01-06T00:00:00,Novograd,D-02,Industrial 2,industrial,4426,52.2122,21.0382,R-D-02-05,collector,inbound,2,3.12,43,570,52.230213,21.0278,52.194187,21.0486,-0.9,-1.3,64.1,0.0,13.5,9.2,17.8,clear,65,9.2,41.7,11.4,4.49,12.35,74.3,free_flow,2,385,54,331,14.0,1,3,348.5,0,348.5,83.0,229.6,false,1,8,1106,83.0,0,0,0,0.0,0,0,3,9.14,75.05,-1.66,95.23,-56.97,0,false,,,0
