student_id,age,study_hours_per_week,attendance_pct,average_grade,assignments_count,sleep_hours_per_night,final_score,passed
STU-0000001,23,6.2,63.7,59.8,14,6.7,47.3,no
STU-0000002,18,4.4,73.7,75.5,5,6.5,62.7,yes
STU-0000003,17,1.0,70.9,80.0,11,5.6,69.1,yes
STU-0000004,24,9.0,70.3,64.2,8,7.2,57.1,no
STU-0000005,19,21.5,100,100,8,7.4,92.6,yes
STU-0000006,19,11.3,67.6,91.5,10,6.8,71.3,yes
STU-0000007,19,12.2,64.4,93.6,5,7.4,73.1,yes
STU-0000008,18,14.3,73.6,80.5,4,7.1,63.6,yes
STU-0000009,24,13.7,68.3,86.1,11,8.5,92.3,yes
STU-0000010,18,16.5,90.2,100,12,8.5,95.5,yes
STU-0000011,23,19.7,65.9,50.9,9,6.4,51.2,no
STU-0000012,24,4.9,82.8,78.5,11,6.9,67.6,yes
STU-0000013,21,9.8,68.1,87.7,10,6.5,79.2,yes
STU-0000014,18,9.4,72.4,81.3,11,6.5,82.4,yes
STU-0000015,22,18.0,80.7,100,4,6.8,82.8,yes
STU-0000016,20,17.1,85.8,100,14,6.1,87.4,yes
STU-0000017,17,12.0,63.5,69.7,11,6.9,66.1,yes
STU-0000018,17,15.7,83.2,100,4,6.8,82.5,yes
STU-0000019,18,4.5,76.3,46.0,4,6.8,56.5,no
STU-0000020,19,1.3,51.8,37.6,11,6.8,42.7,no
STU-0000021,19,9.5,78.6,69.0,7,8.4,71.5,yes
STU-0000022,21,7.5,70.5,69.8,11,5.7,58.1,no
STU-0000023,22,9.3,70.6,100,6,6.4,86.4,yes
STU-0000024,17,23.9,100,100,5,6.4,79.6,yes
STU-0000025,21,8.6,72.3,67.3,6,6.5,61.9,yes
STU-0000026,19,1.0,58.7,30.1,3,6.3,41.6,no
STU-0000027,24,2.6,71.5,48.7,14,7.0,51.9,no
STU-0000028,23,13.9,81.4,81.7,7,7.3,68.8,yes
STU-0000029,24,22.1,74.9,84.9,9,7.3,76.2,yes
STU-0000030,21,2.2,56.1,83.8,4,5.9,68.6,yes
STU-0000031,20,20.8,78.5,100,12,7.2,84.3,yes
STU-0000032,19,9.6,72.5,51.1,9,5.7,55.2,no
STU-0000033,21,2.5,78.9,83.0,14,8.0,76.7,yes
STU-0000034,22,10.1,77.6,76.4,10,6.5,77.5,yes
STU-0000035,19,15.3,97.3,83.9,9,5.5,70.1,yes
STU-0000036,25,4.2,66.9,77.5,14,6.1,51.5,no
STU-0000037,26,17.7,78.3,85.0,12,6.7,66.0,yes
STU-0000038,17,20.5,80.0,100,7,7.5,88.2,yes
STU-0000039,25,18.1,98.7,100,3,8.0,88.9,yes
STU-0000040,25,6.7,90.7,65.3,4,7.8,62.2,yes
STU-0000041,18,16.3,73.7,38.5,13,6.0,43.2,no
STU-0000042,24,17.1,81.9,89.4,8,8.3,88.1,yes
STU-0000043,20,4.0,73.4,79.1,14,7.3,58.4,no
STU-0000044,20,17.0,95.9,100,8,6.2,52.4,no
STU-0000045,19,7.3,77.7,100,13,7.1,79.7,yes
STU-0000046,18,10.0,85.5,100,10,6.7,84.2,yes
STU-0000047,19,19.9,75.8,100,11,7.2,82.5,yes
STU-0000048,25,8.1,87.3,82.6,10,5.9,82.6,yes
STU-0000049,20,15.2,74.6,78.0,12,7.6,67.3,yes
STU-0000050,18,11.8,79.4,93.1,12,6.6,76.0,yes
STU-0000051,18,13.6,82.1,100,10,7.4,86.0,yes
STU-0000052,20,8.1,62.6,74.3,4,6.2,59.8,no
STU-0000053,18,4.1,59.7,71.9,14,7.0,50.2,no
STU-0000054,20,7.7,89.9,83.1,12,8.8,81.7,yes
STU-0000055,26,11.5,57.4,67.5,13,6.2,61.9,yes
STU-0000056,20,7.2,92.1,81.6,4,6.1,75.7,yes
STU-0000057,22,12.4,57.5,63.2,10,6.4,49.7,no
STU-0000058,19,13.9,86.0,100,11,7.1,94.4,yes
STU-0000059,25,10.7,68.1,100,10,8.2,69.8,yes
STU-0000060,17,9.1,82.9,85.8,3,6.8,74.3,yes
STU-0000061,24,17.6,73.3,96.9,8,7.5,78.9,yes
STU-0000062,21,2.0,72.2,76.4,5,7.3,58.8,no
STU-0000063,21,18.4,82.1,100,13,7.9,86.5,yes
STU-0000064,18,1.0,69.1,76.8,10,6.9,53.0,no
STU-0000065,20,9.7,71.2,72.9,10,7.6,60.4,yes
STU-0000066,18,1.0,67.1,78.9,12,8.2,62.1,yes
STU-0000067,21,9.8,91.6,83.7,7,10,81.3,yes
STU-0000068,19,20.9,91.6,100,13,9.6,85.7,yes
STU-0000069,26,18.7,95.7,90.0,7,6.6,90.6,yes
STU-0000070,23,7.1,77.1,73.5,14,7.0,62.9,yes
STU-0000071,22,24.5,100,100,7,8.1,100,yes
STU-0000072,26,24.7,100,100,3,8.3,92.6,yes
STU-0000073,20,8.7,75.5,59.5,11,6.8,57.8,no
STU-0000074,22,21.0,85.8,61.3,11,8.6,71.8,yes
STU-0000075,19,12.2,82.1,53.9,8,6.9,66.0,yes
STU-0000076,24,8.9,76.2,53.8,3,7.1,56.4,no
STU-0000077,18,1.0,80.1,96.4,5,6.3,76.6,yes
STU-0000078,17,19.2,84.2,98.7,4,6.0,82.8,yes
STU-0000079,23,32.2,95.6,100,10,7.5,100,yes
STU-0000080,19,17.1,98.2,98.3,12,5.8,83.5,yes
STU-0000081,25,1.0,57.4,83.7,14,7.5,57.1,no
STU-0000082,19,13.1,92.6,100,4,7.5,76.4,yes
STU-0000083,18,3.8,83.1,74.8,13,7.8,68.7,yes
STU-0000084,26,9.9,64.5,100,4,5.3,58.7,no
STU-0000085,19,4.6,80.6,85.4,7,7.2,81.5,yes
STU-0000086,26,9.0,65.2,99.9,7,7.1,78.2,yes
STU-0000087,18,9.5,75.6,92.7,10,8.0,75.9,yes
STU-0000088,20,22.0,84.2,100,6,7.2,93.6,yes
STU-0000089,19,13.2,61.5,48.1,8,6.3,50.9,no
STU-0000090,21,1.0,75.6,55.0,8,6.1,57.4,no
STU-0000091,23,13.7,74.9,81.3,8,6.9,72.7,yes
STU-0000092,26,20.2,100,100,12,6.4,85.8,yes
STU-0000093,20,9.6,86.4,91.7,7,6.6,83.0,yes
STU-0000094,18,11.6,70.5,82.6,12,7.9,77.7,yes
STU-0000095,20,19.4,93.5,100.0,8,7.8,98.7,yes
STU-0000096,20,8.1,80.8,94.7,3,7.3,83.8,yes
STU-0000097,19,10.0,66.2,69.1,12,6.3,68.1,yes
STU-0000098,23,13.8,66.3,87.0,14,7.1,51.6,no
STU-0000099,19,20.5,71.2,32.7,5,5.4,49.3,no
STU-0000100,24,1.0,55.3,37.7,10,6.0,35.0,no
STU-0000101,23,1.7,52.8,78.9,12,6.4,69.5,yes
STU-0000102,23,11.7,80.3,91.0,4,6.7,78.6,yes
STU-0000103,18,10.6,82.3,100,8,7.6,87.5,yes
STU-0000104,22,10.7,84.2,89.8,10,7.9,80.7,yes
STU-0000105,23,7.9,78.7,100,4,7.4,79.3,yes
STU-0000106,18,3.0,72.4,76.5,7,6.5,67.9,yes
STU-0000107,21,1.0,63.8,53.4,11,8.2,55.5,no
STU-0000108,24,7.3,57.8,87.8,13,6.0,69.5,yes
STU-0000109,19,20.3,97.6,100,11,6.3,85.8,yes
STU-0000110,18,17.2,100,100,10,5.6,85.6,yes
STU-0000111,21,8.3,66.7,84.7,5,6.9,64.5,yes
STU-0000112,20,34.3,100,100,7,7.6,92.3,yes
STU-0000113,19,3.4,68.4,72.1,10,7.7,69.9,yes
STU-0000114,23,1.0,70.1,55.1,4,7.6,51.6,no
STU-0000115,24,11.2,73.0,80.5,5,7.3,69.5,yes
STU-0000116,21,1.0,71.0,55.4,13,7.7,56.5,no
STU-0000117,19,11.8,83.6,85.6,9,6.3,88.5,yes
STU-0000118,23,3.6,63.8,62.1,13,6.9,56.2,no
STU-0000119,20,18.2,81.0,92.7,11,6.9,85.5,yes
STU-0000120,26,27.3,100,100,14,6.2,95.2,yes
STU-0000121,25,3.8,64.4,94.3,12,6.8,59.9,no
STU-0000122,25,16.0,100,100,6,8.5,100,yes
STU-0000123,17,9.0,69.4,94.9,4,7.1,72.4,yes
STU-0000124,19,19.7,86.5,100,10,5.5,83.0,yes
STU-0000125,26,16.7,75.7,94.1,12,6.9,69.0,yes
STU-0000126,17,10.2,86.7,94.5,11,6.4,75.1,yes
STU-0000127,25,9.3,55.0,60.1,11,6.5,57.9,no
STU-0000128,20,7.7,83.4,100,12,6.0,71.0,yes
STU-0000129,20,18.3,83.5,68.9,8,7.1,71.8,yes
STU-0000130,19,6.7,81.5,89.6,12,6.3,67.1,yes
STU-0000131,18,11.3,58.9,32.7,9,5.7,44.9,no
STU-0000132,19,17.6,54.0,81.6,8,6.0,57.3,no
STU-0000133,22,8.1,55.4,70.6,7,5.6,43.5,no
STU-0000134,24,4.0,59.9,56.4,8,6.9,62.3,yes
STU-0000135,20,21.9,78.3,89.6,11,8.2,81.8,yes
STU-0000136,19,13.5,65.9,59.0,3,7.0,50.6,no
STU-0000137,23,9.9,73.6,83.5,4,8.2,80.9,yes
STU-0000138,21,18.1,86.4,100,14,9.3,94.0,yes
STU-0000139,20,18.8,100,97.0,5,8.4,88.7,yes
STU-0000140,23,8.2,69.1,93.4,13,7.8,81.3,yes
STU-0000141,21,12.8,92.5,86.7,7,8.5,83.4,yes
STU-0000142,18,5.8,54.8,64.3,7,5.4,55.0,no
STU-0000143,19,16.1,77.3,33.5,10,5.9,41.5,no
STU-0000144,18,9.4,62.1,41.6,11,5.1,37.5,no
STU-0000145,19,13.3,62.3,94.7,11,6.0,72.5,yes
STU-0000146,24,17.6,87.0,38.7,10,8.9,73.6,yes
STU-0000147,21,1.0,84.3,66.6,11,7.3,64.0,yes
STU-0000148,21,15.0,69.9,72.6,5,8.1,78.9,yes
STU-0000149,19,8.0,77.5,88.7,3,5.7,63.3,yes
STU-0000150,24,36.1,94.9,100,12,6.1,96.6,yes
STU-0000151,22,17.6,68.0,100.0,14,6.8,89.4,yes
STU-0000152,20,9.3,71.9,67.5,10,6.5,65.6,yes
